Industry,MarketSize,GrowthRate,DemandIndex,CompetitionIntensity,FundingDensity
Fintech,567.17,24.38,100,8,3
HealthTech,123.08,20.24,75,3,4
EdTech,442.18,21.96,68,6,10
CleanTech,622.16,26.01,88,4,5
E-commerce,647.11,32.95,94,9,5
Blockchain,831.69,31.54,72,3,6
AI,959.97,10.55,67,5,7
Biotech,276.2,10.23,69,8,6
FoodTech,682.73,36.94,64,8,3
SpaceTech,319.13,37.81,100,6,4
Cybersecurity,154.24,38.03,66,8,10
AgriTech,416.46,13.04,66,9,10
Logistics,537.28,17.7,70,9,5
Robotics,356.39,19.22,73,5,4
Gaming,822.72,26.17,74,4,7
SaaS,380.18,28.31,74,8,6
PropTech,744.54,18.18,82,5,10
InsurTech,472.19,13.66,94,4,6
Mobility,263.03,30.43,83,10,4
ClimateTech,263.29,25.75,92,6,7
