StartupName,Industry,Country,FoundedYear,FundingStage,TotalFunding_M,EmployeeCount,Revenue_M,GrowthRate,Valuation_B
Startup_1,Biotech,France,2014,Series C,568.06,4813,760.62,74.54,2.46
Startup_2,AI,Germany,2023,Series D,902.0,2732,125.66,19.82,1.25
Startup_3,EdTech,Australia,2016,Series A,96.54,4805,693.07,62.11,1.79
Startup_4,FoodTech,UK,2010,Series B,1065.03,310,17.45,97.14,1.59
Startup_5,Biotech,Australia,2014,Series A,1250.34,270,170.66,22.27,1.7
Startup_6,AgriTech,UK,2014,Seed,283.27,2922,244.09,54.85,1.05
Startup_7,HealthTech,UK,2014,Series B,653.6,3364,233.69,63.13,1.44
Startup_8,Mobility,Singapore,2021,Series A,217.85,1099,234.42,39.8,0.89
Startup_9,Biotech,Netherlands,2018,Series B,689.54,4410,628.36,23.97,2.07
Startup_10,Mobility,USA,2010,Series D,776.21,1662,474.34,9.41,1.77
Startup_11,Cybersecurity,Canada,2017,Series D,915.24,1417,137.25,11.18,1.25
Startup_12,HealthTech,USA,2011,Series C,1423.84,3316,772.54,81.8,3.38
Startup_13,Gaming,Canada,2013,Series D,463.87,4481,79.04,70.0,0.97
Startup_14,Fintech,India,2019,Series A,665.83,3645,98.51,52.04,1.12
Startup_15,EdTech,Singapore,2021,Seed,61.24,1283,727.55,29.58,1.66
Startup_16,Robotics,France,2010,Seed,997.16,4453,250.06,54.41,1.77
Startup_17,AI,Australia,2011,Series B,824.6,830,148.7,97.11,1.61
Startup_18,InsurTech,Canada,2019,Series B,1164.95,4836,751.66,90.01,3.12
Startup_19,ClimateTech,UK,2012,Seed,900.87,4912,737.58,13.41,2.44
Startup_20,Gaming,India,2022,Seed,302.01,4100,37.14,35.91,0.56
Startup_21,Cybersecurity,Canada,2011,Series B,589.13,4556,217.81,83.73,1.44
Startup_22,Robotics,UK,2013,Series C,541.56,4720,225.47,56.56,1.28
Startup_23,CleanTech,Canada,2018,IPO,219.98,40,641.96,12.08,1.56
Startup_24,InsurTech,UK,2021,IPO,1480.46,4977,618.02,23.88,2.84
Startup_25,InsurTech,Singapore,2018,Series A,18.23,350,652.55,72.15,1.68
Startup_26,ClimateTech,Canada,2017,Series B,1096.22,3360,617.25,12.03,2.39
Startup_27,EdTech,Singapore,2019,Series D,544.11,3091,93.58,86.99,1.17
Startup_28,CleanTech,Australia,2017,Series A,938.71,1488,265.39,11.04,1.52
Startup_29,SpaceTech,USA,2015,Seed,473.36,4884,260.82,74.31,1.37
Startup_30,Blockchain,Israel,2012,IPO,959.96,946,709.88,49.86,2.63
Startup_31,Gaming,Singapore,2016,Series D,188.2,4769,570.88,77.27,1.72
Startup_32,SpaceTech,Germany,2021,Series A,846.3,2061,617.0,51.91,2.34
Startup_33,Blockchain,France,2012,Seed,788.87,4116,342.61,7.41,1.51
Startup_34,Biotech,Singapore,2012,Series A,170.76,1365,26.11,65.46,0.55
Startup_35,AgriTech,France,2022,Series B,478.39,2792,407.35,91.22,1.75
Startup_36,Fintech,Singapore,2021,Series B,381.45,3956,328.9,76.78,1.42
Startup_37,Logistics,India,2014,IPO,350.91,2083,62.51,32.53,0.64
Startup_38,FoodTech,Canada,2014,Series A,250.22,1950,743.83,81.77,2.15
